Question,Operation,Difficulty,Answer,Choices
1|||3,Multiplication,Easy,3,"2,3,4,5"
2|||6,Multiplication,Easy,12,"10,11,12,13"
2|||5,Multiplication,Easy,10,"10,11,12,13"
2|||8,Multiplication,Easy,16,"14,15,16,17"
3|||3,Multiplication,Easy,9,"7,8,9,10"
3|||4,Multiplication,Easy,12,"9,10,11,12"
2|||9,Multiplication,Easy,18,"15,16,17,18"
3|||5,Multiplication,Easy,15,"15,16,17,18"
3|||2,Multiplication,Easy,6,"3,4,5,6"
2|||10,Multiplication,Easy,20,"20,21,22,23"
4|||4,Multiplication,Medium,16,"15,16,17,18"
5|||5,Multiplication,Medium,25,"24,25,26,27"
6|||5,Multiplication,Medium,30,"30,31,32,33"
4|||5,Multiplication,Medium,20,"18,19,20,21"
6|||4,Multiplication,Medium,24,"24,25,26,27"
6|||6,Multiplication,Medium,36,"33,34,35,36"
7|||5,Multiplication,Medium,35,"35,36,37,38"
6|||7,Multiplication,Medium,42,"39,40,41,42"
4|||8,Multiplication,Medium,32,"32,33,34,35"
4|||9,Multiplication,Medium,36,"36,37,38,39"
6|||7,Multiplication,Hard,42,"41,42,43,44"
9|||9,Multiplication,Hard,81,"80,81,82,83"
8|||9,Multiplication,Hard,72,"72,73,74,75"
8|||8,Multiplication,Hard,64,"61,62,63,64"
7|||7,Multiplication,Hard,49,"49,50,51,52"
8|||6,Multiplication,Hard,48,"45,46,47,48"
9|||7,Multiplication,Hard,63,"60,61,62,63"
6|||9,Multiplication,Hard,54,"54,55,56,57"
7|||10,Multiplication,Hard,70,"67,68,69,70"
8|||7,Multiplication,Hard,56,"56,57,58,59"
